risk_group,model,repeat,fold,county_count,train_count,test_count,inner_splits,best_parameters,mae,rmse,r2,spearman
Very Low,median_baseline,2,5,987,790,197,0,{},0.02616401453976675,0.035081566033766956,-0.000272413556016593,
Very Low,elastic_net,2,5,987,790,197,3,"{""regressor__regressor__model__alpha"": 0.01, ""regressor__regressor__model__l1_ratio"": 1.0}",0.024686222720462128,0.0343246081526122,0.04242781194953882,0.2972792254880725
Very Low,gradient_boosted_trees,2,5,987,790,197,3,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 125, ""model__subsample"": 1.0}",0.02372121495140257,0.032947158409429946,0.11774063767210818,0.39198537430091257
Very Low,median_baseline,3,1,987,789,198,0,{},0.029337251339719955,0.039597657037452584,-1.4628102277924881e-05,
Very Low,elastic_net,3,1,987,789,198,3,"{""regressor__regressor__model__alpha"": 0.01, ""regressor__regressor__model__l1_ratio"": 0.5}",0.027528492215478876,0.03846029735453928,0.05660700201621205,0.2845028093861091
Very Low,gradient_boosted_trees,3,1,987,789,198,3,"{""model__learning_rate"": 0.02, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 125, ""model__subsample"": 0.7}",0.026853972111726018,0.037975109729979126,0.08025920901186157,0.35114891485577404
Very Low,median_baseline,3,2,987,789,198,0,{},0.02698366961004293,0.03583668934441753,-0.020404264559509278,
Very Low,elastic_net,3,2,987,789,198,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.025362536711759927,0.03485350272355254,0.03481767073886366,0.2894993348530068
Very Low,gradient_boosted_trees,3,2,987,789,198,3,"{""model__learning_rate"": 0.02, ""model__max_depth"": 2, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 300, ""model__subsample"": 1.0}",0.026069645443634264,0.03630452563238417,-0.04722025600384572,0.21878770685897722
Very Low,median_baseline,3,3,987,790,197,0,{},0.03127058914815228,0.04250279991658422,-0.002920604474520916,
Very Low,elastic_net,3,3,987,790,197,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.02998110807236162,0.0412879177645439,0.05359410959087352,0.29896970324816596
Very Low,gradient_boosted_trees,3,3,987,790,197,3,"{""model__learning_rate"": 0.02, ""model__max_depth"": 2, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200, ""model__subsample"": 0.9}",0.030954617370001866,0.042368344960787514,0.0034147124810524065,0.19068808880266463
Very Low,median_baseline,3,4,987,790,197,0,{},0.02683218869651777,0.03774811597553017,-0.01690161524743128,
Very Low,elastic_net,3,4,987,790,197,3,"{""regressor__regressor__model__alpha"": 0.01, ""regressor__regressor__model__l1_ratio"": 1.0}",0.025247855247458723,0.03574225256187554,0.08829945501051562,0.34224248074864466
Very Low,gradient_boosted_trees,3,4,987,790,197,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 1, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 75, ""model__subsample"": 0.7}",0.02596648770297654,0.03656504315919306,0.04584142739999442,0.27035068175062044
Very Low,median_baseline,3,5,987,790,197,0,{},0.030405490040964468,0.044224081792844996,-0.0050951228851658925,
Very Low,elastic_net,3,5,987,790,197,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.5}",0.029287162917825994,0.043743223307229004,0.016643302766958135,0.2694216588342767
Very Low,gradient_boosted_trees,3,5,987,790,197,3,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 75, ""model__subsample"": 0.7}",0.028863958475503885,0.04404072751657146,0.003221904796601338,0.2649217741398326
Low,median_baseline,1,1,1123,898,225,0,{},0.020015230824366674,0.026896608098865894,-0.0027355580195169704,
Low,elastic_net,1,1,1123,898,225,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.017207979003240316,0.02426950349880715,0.18358087631579256,0.4752033291192584
Low,gradient_boosted_trees,1,1,1123,898,225,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 125, ""model__subsample"": 0.7}",0.016724521719930364,0.02446353918582148,0.17047408073634207,0.5311125158027814
Low,median_baseline,1,2,1123,898,225,0,{},0.019338367572566666,0.02729697325491045,-0.00996825066324325,
Low,elastic_net,1,2,1123,898,225,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.017388092621145334,0.02477727055387235,0.16788057696587078,0.4564506953223768
Low,gradient_boosted_trees,1,2,1123,898,225,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 125, ""model__subsample"": 0.7}",0.01665665423730092,0.02407722047502433,0.21423725805279126,0.48053202697008013
Low,median_baseline,1,3,1123,898,225,0,{},0.02152374433266445,0.029900271262037058,-0.0012406083610732033,
