n_clusters,min_cluster_size,max_cluster_share,cluster_size_cv,mean_assignment_confidence,median_assignment_confidence,low_confidence_under_0_60_rate,mean_assignment_margin,median_assignment_margin,silhouette_score,calinski_harabasz_score,davies_bouldin_index,cluster_sizes,k,passes_balance_check,silhouette_rank,davies_bouldin_rank,confidence_rank,balance_penalty,usable_rank_score
4,199,0.39134615384615384,0.46928790635733886,0.8797869574921906,0.9518202012953181,0.08125,0.7676955152275615,0.9094102727350967,0.04962996170487292,67.19574630086824,7.733553160766888,"{""0"": 814, ""1"": 378, ""2"": 199, ""3"": 689}",4,True,2.0,3.0,1.0,3.6000571371265697,5.600057137126569
5,21,0.3716346153846154,0.7205734844203637,0.8789553069252717,0.9541961348463086,0.0889423076923077,0.7669536593910405,0.9117987566403922,0.0698108774920597,77.99263885825708,4.623033406459344,"{""0"": 21, ""1"": 773, ""2"": 179, ""3"": 364, ""4"": 743}",5,False,1.0,2.0,2.0,3.693650407497287,5.360317074163953
6,25,0.37067307692307694,0.8425096350826502,0.8648140725742547,0.9324056645636585,0.09038461538461538,0.7406797935068773,0.8709317041786604,0.023674708152608526,86.7408848975018,3.5233998216462776,"{""0"": 289, ""1"": 124, ""2"": 718, ""3"": 153, ""4"": 771, ""5"": 25}",6,False,3.0,1.0,3.0,3.8078942504672657,6.1412275838006
