n_clusters,min_cluster_size,max_cluster_share,cluster_size_cv,mean_assignment_confidence,median_assignment_confidence,low_confidence_under_0_60_rate,mean_assignment_margin,median_assignment_margin,silhouette_score,calinski_harabasz_score,davies_bouldin_index,cluster_sizes,k,passes_balance_check,silhouette_rank,davies_bouldin_rank,confidence_rank,balance_penalty,usable_rank_score
5,319,0.4154435226547543,0.5881931738875451,0.963081025054038,0.9983274621487105,0.017868538608806637,0.9285145712508169,0.9970209908111876,0.11676291598925587,178.53832576376882,2.897869302394251,"{""0"": 319, ""1"": 468, ""2"": 1302, ""3"": 725, ""4"": 320}",5,True,1.0,1.0,1.0,3.9117413551255797,4.91174135512558
4,420,0.4170389278876835,0.46496097715097334,0.9224437661680105,0.9826375770647442,0.04467134652201659,0.8515106256984695,0.9661939608569922,0.0897010136999387,112.56350110844456,6.753405571752394,"{""0"": 1307, ""1"": 467, ""2"": 940, ""3"": 420}",4,True,2.0,2.0,2.0,3.8012724002524414,5.801272400252442
